Layer,Name,GEOID,Population,Longitude,Latitude,PCT-W_2016-2020,PCT-B_2016-2020,PCT-A_2016-2020,PCT-H_2016-2020,PCT-P_2016-2020,PCT-Q_2016-2020,POP_2015-2019,EDB_2015-2019,EDX_2015-2019,INC_2015-2019,HDX_2015-2019,DIV_2015-2019,DIS_2015-2019,SVI_2020,CZM_2016-2020,HTJ_2015-2019,EVR_2018,RBU_2015-2019,VAC_2015-2019,PMC_2021,LFA_2019,UNS_2015-2019
Census tract,Tract 105.02,17031010502,3089,-87.66332730,42.00451730,51.8243243243243,21.25,8.51351351351351,15.7094594594595,0.0,2.7027027027027,3089.0,93.8701298701299,0.811069103129595,41779.4673351228,56.2,6.02136613790871,10.7801877630301,71.44,66.2,6.80661577608142,0.57,52.6358475263585,10.580204778157,9.765561096,0.0,11.4276464875364
Census tract,Tract 105.03,17031010503,1806,-87.66312620,42.00032070,68.4744044602129,11.8094272681196,10.2889001520527,3.85200202736949,0.0,5.57526609224531,1806.0,80.9369951534733,0.796819282622376,19640.2106524102,89.9,11.6071428571429,23.4933035714286,82.28,87.8,6.70443814919736,0.11,48.2758620689655,18.4757505773672,9.79476274,0.0,2.95758928571429
Census tract,Tract 106,17031010600,6395,-87.66768300,42.00627740,53.8896746817539,20.9020902090209,4.58903033160459,14.5214521452145,0.0,6.0977526324061,6395.0,90.3442109968708,0.740845453133896,53971.3328157235,57.0,2.79159313332264,5.69549173752607,53.84,172.4,5.21650187521309,0.22,54.7244094488189,11.3629495315805,9.77421863,0.0,20.5198138937911
Census tract,Tract 107.01,17031010701,3620,-87.67862040,42.00914820,42.5603593486805,22.4873666479506,7.63615946097698,26.1089275687816,0.0,0.617630544637844,3620.0,92.6557863501484,0.787320699757828,63820.0774640076,34.6,4.22651933701657,7.09944751381215,77.69,67.8,4.03439153439153,1.02,52.2842639593909,11.4754098360656,9.796614795,0.0,13.8674033149171
Census tract,Tract 107.02,17031010702,5082,-87.67272570,42.00901990,25.8398924937608,33.4229218660012,6.33518909579574,32.0023037051257,0.0,2.39969283931657,5082.0,81.745009658725,0.804419101626373,47289.8850462521,74.7,3.41357537490134,7.08366219415943,93.6,87.2,10.9457513202112,0.56,52.7136618839676,7.79105799026118,9.776560548,0.0,13.930544593528
Census tract,Tract 201,17031020100,3618,-87.68711690,42.01572100,25.1202565473009,36.3442009620524,4.75681453768038,25.0935328701229,0.0,8.6851950828434,3618.0,81.6326530612245,0.818902046415274,51806.4122096763,61.2,3.8971807628524,11.7744610281924,82.68,100.8,4.72074468085106,1.78,53.8004750593824,13.1639722863741,9.805815342,0.0,16.4179104477612
Census tract,Tract 202,17031020200,6840,-87.69951910,42.01569030,41.6332378223496,8.02292263610315,16.7048710601719,26.89111747851,0.0,6.74785100286533,6840.0,84.0670859538784,0.776067749978958,99829.2517580248,55.9,4.28362573099415,6.6374269005848,69.56,73.8,0.821652972450459,1.49,57.8723404255319,7.83964365256125,9.839473699,4.27,12.266081871345
Census tract,Tract 203.01,17031020301,5384,-87.70518650,42.00686510,78.8874609876997,2.331558656141,10.4277583991188,5.56269506150174,0.16522856618322,1.89094914631907,5384.0,90.3923831506059,0.788614987327517,60432.1517336232,72.1,4.81054977711739,15.5274888558692,84.2,53.4,2.86669851887243,0.53,40.0,6.60419455600178,9.905058904,39.21,8.22808320950966
Census tract,Tract 203.02,17031020302,5137,-87.69496340,42.00854060,68.6278342455043,4.47615324472244,11.4542611415168,11.4347146207975,0.0,4.00703674745895,5137.0,94.0361786319955,0.6340227032777,82205.4615231039,50.7,3.3459595959596,13.78367003367,63.68,95.8,1.79606025492468,0.29,35.1744186046512,8.82197569994717,9.864289863,35.76,6.29208754208754
Census tract,Tract 204,17031020400,4258,-87.68591180,42.00848800,35.6768885564697,22.1141859885315,9.62353527798554,28.3221141859885,0.0,4.26327599102468,4258.0,88.9035667107001,0.758744885714699,69919.1923512057,49.6,3.83258876087468,7.71220315071714,74.44,96.2,3.40298507462687,0.8,42.4766977363515,9.60604425256341,9.82682137,19.63,9.59322830942864
Census tract,Tract 205,17031020500,6775,-87.68419820,42.00131290,12.4555160142349,14.635231316726,43.0160142348754,24.9406880189798,0.0,4.07769869513642,6775.0,68.6642751635366,0.803129621246416,47653.7105082189,93.4,3.39501452821532,8.77810062700719,98.46,108.4,14.1356255969437,0.71,41.3504823151126,12.7136306794498,9.869289041,0.61,18.1985012998929
Census tract,Tract 206.01,17031020601,6525,-87.70180250,42.00087460,65.5759162303665,6.62630890052356,17.3756544502618,4.33573298429319,0.99803664921466,4.15575916230366,6525.0,86.9413968423869,0.789292663382419,40494.9407040973,96.2,2.57471264367816,10.3141762452107,89.28,126.6,21.4395099540582,0.47,65.2869238005644,9.01068276823038,9.927838356,5.28,10.9272030651341
Census tract,Tract 206.02,17031020602,4765,-87.69363730,42.00131560,45.7148310746326,11.4525672838328,19.9274670738691,20.6718839473182,0.0,1.45065852261882,4765.0,84.353982300885,0.801454815244915,60508.5232591672,83.2,2.71578947368421,6.96842105263158,68.26,103.8,12.051649928264,0.0,39.5674300254453,10.2382485511912,9.894579726,20.24,16.0421052631579
Census tract,Tract 207.01,17031020701,1844,-87.70368970,41.98689150,68.7641723356009,5.78231292517007,9.75056689342404,13.2086167800454,0.0,2.49433106575964,1844.0,92.1364985163205,0.661616500940607,103154.595266088,30.6,1.30151843817787,4.28416485900217,33.13,52.2,1.7725258493353,0.0,43.2432432432432,9.97340425531915,10.01666986,47.12,4.60954446854664
Census tract,Tract 207.02,17031020702,8226,-87.70489390,41.99412560,43.9589578049343,6.07562831450311,20.8669587272308,28.0378141572516,0.0,0.818538160018446,8226.0,76.6106989457243,0.797023381497467,52152.2055058897,93.9,1.75460428073668,4.59183673469388,92.34,102.8,18.864774624374,0.36,53.1591737545565,8.23439295289161,9.963552329,0.0,7.34196117471379
Census tract,Tract 208.01,17031020801,6175,-87.69441490,41.98680810,39.7849462365591,11.6060761222052,16.2826420890937,24.2191500256016,0.0,8.10718552654037,6175.0,74.4756804997769,0.802841759756394,57333.8013709266,71.2,1.52226720647773,10.4777327935223,72.65,82.0,6.41662901039313,0.25,55.2412645590682,5.14359194170596,9.975478082,0.0,13.9109311740891
Census tract,Tract 208.02,17031020802,7916,-87.69463060,41.99405920,26.8861293345829,7.94283036551078,33.5637300843486,16.5182755388941,2.74133083411434,12.3477038425492,7916.0,72.7359389895138,0.803511042350898,49025.215821114,89.7,5.21321017335189,10.4896874604581,94.3,156.0,10.755939524838,0.5,59.4392523364486,8.35312747426762,9.932645479,0.0,14.311021131216
Census tract,Tract 209.01,17031020901,6155,-87.68642640,41.99505770,24.2369543813587,20.2658352477847,27.8470626846078,22.7600918936659,0.0,4.52904496225796,6155.0,79.1572610985704,0.784028521109325,55426.6346635906,76.5,2.89195775792039,6.64500406173842,86.6,132.2,8.66666666666667,1.15,57.4045801526718,11.6447666515632,9.910753973,0.0,16.7506092607636
Census tract,Tract 209.02,17031020902,4848,-87.67869710,41.99424990,37.4803149606299,17.7502812148481,26.2992125984252,17.1653543307087,0.0,1.30483689538808,4848.0,76.1659513590844,0.806360622952885,41881.2960358482,85.0,10.5746121913917,18.6585099410094,99.01,107.0,9.33899332929048,1.05,61.9921363040629,6.78349349915206,9.878755342,0.0,13.8737164081276
Census tract,Tract 301.01,17031030101,3911,-87.65504200,41.99134750,36.7713004484305,26.4310208388288,18.3328936955948,16.1434977578475,0.0,2.32128725929834,3911.0,90.3079416531605,0.786193684766812,51133.9184986357,66.1,3.06826898491434,10.7900792636154,87.86,53.2,9.53316953316953,1.07,44.5718654434251,17.5779667881733,9.81717589,0.0,10.150856558425
