"145","X N LASLLE ST, Chicago, IL, ","No_Match"
"40","2830 W MCLEAN AVE, Chicago, IL, ","Tie"
"41","2930 N RIVERWALK DR, Chicago, IL, ","No_Match"
"42","230 N WESTSHORE DR, Chicago, IL, ","No_Match"
"43","230 W CONCORD LN, Chicago, IL, ","Tie"
"44","3230 W LE MOYNE ST, Chicago, IL, ","Tie"
"45","3230 W LE MOYNE ST, Chicago, IL, ","Tie"
"46","3430 N LAKE SHORE DR, Chicago, IL, ","Tie"
"47","3430 N LAKE SHORE DR, Chicago, IL, ","Tie"
"48","3430 N LAKE SHORE DR, Chicago, IL, ","Tie"
"49","3430 N LAKE SHORE DR, Chicago, IL, ","Tie"
"50","3430 W LE MOYNE ST, Chicago, IL, ","Tie"
"51","3430 W LE MOYNE ST, Chicago, IL, ","Tie"
"52","3430 W MCLEAN AVE, Chicago, IL, ","Tie"
"53","3530 W LE MOYNE ST, Chicago, IL, ","Tie"
"54","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"55","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"56","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"57","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"58","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"59","3630 N LAKE SHORE DR, Chicago, IL, ","Tie"
"60","3630 W 116TH ST, Chicago, IL, ","Tie"
"61","3630 W LE MOYNE ST, Chicago, IL, ","Tie"
"62","3630 W MCLEAN AVE, Chicago, IL, ","Tie"
"63","3630 W MCLEAN AVE, Chicago, IL, ","Tie"
"64","3730 W MCLEAN AVE, Chicago, IL, ","Tie"
"65","3930 N LAKE SHORE DR, Chicago, IL, ","Tie"
"66","3930 N LAKE SHORE DR, Chicago, IL, ","Tie"
"67","3930 N LAKE SHORE DR, Chicago, IL, ","Tie"
"68","3930 N LAKE SHORE DR, Chicago, IL, ","Tie"
"69","3930 W ROSEMONT AVE, Chicago, IL, ","Tie"
"70","4030 N MCVICKER AVE, Chicago, IL, ","Tie"
"71","4130 N KEDVALE AVE, Chicago, IL, ","Tie"
"72","4130 N KEDVALE AVE, Chicago, IL, ","Tie"
"73","4130 N MCVICKER AVE, Chicago, IL, ","Tie"
"74","4130 N MCVICKER AVE, Chicago, IL, ","Tie"
"75","4130 N MCVICKER AVE, Chicago, IL, ","Tie"
"76","4130 N MCVICKER AVE, Chicago, IL, ","Tie"
"77","4330 S ST LAWRENCE AVE, Chicago, IL, ","Tie"
"78","4430 N MCVICKER AVE, Chicago, IL, ","Tie"
"79","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"100","5230 N OLEANDER, Chicago, IL, ","Tie"
"101","5330 N VIRGINIA AVE, Chicago, IL, ","Tie"
"102","5330 N VIRGINIA AVE, Chicago, IL, ","Tie"
"103","5330 N VIRGINIA AVE, Chicago, IL, ","Tie"
"104","5330 S MCVICKER AVE, Chicago, IL, ","Tie"
"105","5330 S MCVICKER AVE, Chicago, IL, ","Tie"
"106","5430 S MCVICKER AVE, Chicago, IL, ","Tie"
"80","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"107","5530 S MCVICKER AVE, Chicago, IL, ","Tie"
"81","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"108","5530 S MCVICKER AVE, Chicago, IL, ","Tie"
"82","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"109","5630 N VIRGINIA AVE, Chicago, IL, ","Tie"
"83","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"84","4530 N MCVICKER AVE, Chicago, IL, ","Tie"
"85","4530 S ST LAWRENCE AVE, Chicago, IL, ","Tie"
"86","4630 S ST LAWRENCE AVE, Chicago, IL, ","Tie"
"87","4730 S ST LAWRENCE AVE, Chicago, IL, ","Tie"
