Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
2430 W MCLEAN AVE,Chicago,IL,,2018-08-03T00:00:00Z,< 1,< 1,< 1,FALSE,2430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2430 W MCLEAN AVE,Chicago,IL,,2019-04-23T00:00:00Z,< 1,< 1,< 1,FALSE,2430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2530 N CAN PARK AVE,Chicago,IL,,2018-08-16T00:00:00Z,5,4.2,3.5,FALSE,2530 N CAN PARK AVE,NA,NA,NA,NA,NA,NA
2730 W SAINT GEORGES CT,Chicago,IL,,2021-10-27T22:36:00Z,4.4000000000000004,3.6,2.8,FALSE,2730 W SAINT GEORGES CT,NA,NA,NA,NA,NA,NA
2830 N RIVERWALK DR,Chicago,IL,,2020-07-27T00:00:00Z,< 1,< 1,< 1,FALSE,2830 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
2830 W MCLEAN AVE,Chicago,IL,,2021-05-13T00:00:00Z,2.2999999999999998,5.2,2.8,FALSE,2830 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2830 W MCLEAN AVE,Chicago,IL,,2021-10-03T10:40:00Z,<1.0,<1.0,<1.0,FALSE,2830 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2930 N RIVERWALK DR,Chicago,IL,,2018-08-06T00:00:00Z,< 1,< 1,< 1,FALSE,2930 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
230 N WESTSHORE DR,Chicago,IL,,2019-12-05T00:00:00Z,< 1,< 1,< 1,FALSE,230 N WESTSHORE DR,NA,NA,NA,NA,NA,NA
230 W CONCORD LN,Chicago,IL,,2018-08-21T00:00:00Z,2,1,1,FALSE,230 W CONCORD LN,NA,NA,NA,NA,NA,NA
3230 W 71ST ST,Chicago,IL,,2017-04-09T00:00:00Z,1.7,< 1,< 1,FALSE,3230 W 71ST ST,-87.70427835299995,41.76441455100007,17,31,660900,3004
3230 W LE MOYNE ST,Chicago,IL,,2017-11-05T00:00:00Z,< 1,< 1,< 1,FALSE,3230 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3230 W LE MOYNE ST,Chicago,IL,,2021-03-09T00:00:00Z,4.5999999999999996,2.9,1.9,FALSE,3230 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-05-25T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-06-03T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-14T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-20T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2019-03-25T00:00:00Z,4,2.6,2.2000000000000002,FALSE,3430 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2021-08-05T12:18:00Z,3.6,4.0999999999999996,2.1,FALSE,3430 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W MCLEAN AVE,Chicago,IL,,2018-12-26T00:00:00Z,2.4,4.8,3.7,FALSE,3430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3530 W LE MOYNE ST,Chicago,IL,,2021-04-14T00:00:00Z,3,3.1,1.4,FALSE,3530 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-15T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-29T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2019-04-22T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2019-08-11T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2020-02-22T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
