Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
100030 S OAKLEY AVE,Chicago,IL,,2019-10-16T00:00:00Z,3,10,9.6,FALSE,100050 S OAKLEY AVE,NA,NA,NA,NA,NA,NA
10730 S AVENUE,Chicago,IL,,2021-10-13T07:14:00Z,2.1,2.6,2.8,FALSE,10750 S AVENUE,NA,NA,NA,NA,NA,NA
1030 N RIVER WALK,Chicago,IL,,2018-08-05T00:00:00Z,< 1,< 1,< 1,FALSE,1050 N RIVER WALK,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2016-09-08T00:00:00Z,6.1,2.9,3.2,FALSE,1050 W 129TH PL,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2021-11-30T16:00:00Z,2.7,6,1,FALSE,1050 W 129TH PL,NA,NA,NA,NA,NA,NA
11430 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-11-24T00:00:00Z,1.3,7.4,< 1,FALSE,11450 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
11430 S HAMLIN AVE,Chicago,IL,,2016-06-27T00:00:00Z,6.5,9.8000000000000007,4.9000000000000004,FALSE,11450 S HAMLIN AVE,NA,NA,NA,NA,NA,NA
1230 N SANDBURG TER,Chicago,IL,,2017-03-30T00:00:00Z,1.3,< 1,< 1,FALSE,1250 N SANDBURG TER,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-05-19T00:00:00Z,2.9,4.2,2.2000000000000002,FALSE,1250 W WESTGATE TER,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-12-25T00:00:00Z,2,3.7,< 1,FALSE,1250 W WESTGATE TER,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2019-10-01T00:00:00Z,< 1,< 1,< 1,FALSE,13050 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-02-25T00:00:00Z,< 1,< 1,< 1,FALSE,13050 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
13430 W ESTES AVE,Chicago,IL,,2018-07-31T00:00:00Z,< 1,< 1,< 1,FALSE,13450 W ESTES AVE,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2018-07-12T00:00:00Z,< 1,< 1,< 1,FALSE,1350 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2019-02-18T00:00:00Z,< 1,< 1,< 1,FALSE,1350 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2019-07-04T00:00:00Z,2,4.2,2.5,FALSE,1350 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2020-09-17T00:00:00Z,< 1,< 1,< 1,FALSE,1350 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2021-10-11T08:30:00Z,<1.0,<1.0,<1.0,FALSE,1350 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W EVERGREEN AVE,Chicago,IL,,2018-09-26T00:00:00Z,1.4,1.7,2,FALSE,1350 W EVERGREEN AVE,NA,NA,NA,NA,NA,NA
1330 W WESTGATE TER,Chicago,IL,,2019-05-12T00:00:00Z,3.6,< 1,< 1,FALSE,1350 W WESTGATE TER,NA,NA,NA,NA,NA,NA
1330 WEST WESTGATE TER,Chicago,IL,,2019-01-25T00:00:00Z,1.3,< 1,< 1,FALSE,1350 WEST WESTGATE TER,NA,NA,NA,NA,NA,NA
1430 E ROCHDALE PL,Chicago,IL,,2018-06-06T00:00:00Z,1.3,< 1,< 1,FALSE,1450 E ROCHDALE PL,NA,NA,NA,NA,NA,NA
1730 N SAINT MICHAELS CT,Chicago,IL,,2019-04-16T00:00:00Z,2.2000000000000002,1.6,< 1,FALSE,1750 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N SAINT MICHAELS CT,Chicago,IL,,2021-09-14T07:35:00Z,4.5999999999999996,2.2999999999999998,1.9,FALSE,1750 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N ST MICHAELS CT,Chicago,IL,,2018-11-24T00:00:00Z,87,3,4,FALSE,1750 N ST MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 W WALTER BURLEY GRIFFIN PL,Chicago,IL,,2019-09-15T00:00:00Z,4.5999999999999996,4.2,2.8,FALSE,1750 W WALTER BURLEY GRIFFIN PL,NA,NA,NA,NA,NA,NA
1830 S FEDERAL ST,Chicago,IL,,2019-10-22T00:00:00Z,< 1,< 1,< 1,FALSE,1850 S FEDERAL ST,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-07-15T00:00:00Z,< 1,< 1,< 1,FALSE,150 N GARLAND CT,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-08-26T00:00:00Z,< 1,< 1,< 1,FALSE,150 N GARLAND CT,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2016-09-26T00:00:00Z,< 1,< 1,< 1,FALSE,2050 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
