rowname,V1,V2,V3,V4,V5
var,AffectedChildren,AffectedChildrenUF,MeanBLLIncreaseAffected,MeanBLLIncreaseOverall,ChildPopulation
T,114000 (113000-116000),21800 (20300-23300),1.03 (0.465-1.61),0.117 (0.0527-0.184),191000 (190000-193000)
A,6400 (6120-6710),1490 (1320-1660),1.02 (0.456-1.59),0.127 (0.0574-0.204),11800 (11500-12000)
B,35200 (34200-36300),5140 (4500-5800),1.06 (0.476-1.65),0.0917 (0.0413-0.147),58900 (58000-59900)
H,39800 (39000-40500),6990 (6270-7720),1.01 (0.453-1.57),0.115 (0.0514-0.181),61200 (60600-61800)
W,36300 (35600-37100),8630 (8040-9240),1.04 (0.467-1.62),0.141 (0.0634-0.221),63700 (63000-64400)
