AffectedChildren_T,AffectedChildrenUnfiltered_T,MeanBLLIncrease,AffectedChildren_A,AffectedChildren_B,AffectedChildren_H,AffectedChildren_W,AffectedChildrenUF_A,AffectedChildrenUF_B,AffectedChildrenUF_H,AffectedChildrenUF_W,ChildPopulation_T,ChildPopulation_A,ChildPopulation_B,ChildPopulation_H,ChildPopulation_W
122871.72355591775,23235.528753594845,1.3754199034639543,6582.7447443015235,37486.77744124808,44484.450853667295,38241.06768895926,1537.5273992870548,5557.699619654136,8208.088498506253,8596.075324820265,191118.73110996163,11722.101553709266,58876.2533202128,61103.26814773852,63818.89668762146
122795.99263346658,23789.744443297983,1.6794726521086984,6268.177373245418,38629.22161004699,43973.89352582681,37767.840618160444,1478.8594593991418,5584.2611352886615,8267.020312965346,9120.085966479184,191594.60444827154,11819.804610365443,59202.09760555251,61062.75300693774,63923.39255715756
123697.33854404718,23577.17343976604,2.082592437719512,6672.3179618523445,38187.512164569176,44484.57997132573,38158.96537998511,1666.2824238645765,5770.382416626343,7636.945670139862,9028.81701230608,191727.6617582597,11812.969949406777,59207.27769992252,61138.58850592303,63940.57404018897
121205.3409541916,24404.853207488784,1.5050016306868617,6306.0940860494375,36385.10889987967,43889.174897841214,38413.23689256155,1343.5377188094808,5801.491757335362,8220.327974136579,9644.053325592356,190137.9447109454,11757.395661028138,58492.73086609704,60629.53345923746,63602.89961928601
122482.85255897832,23846.028021698698,1.2192331460860755,6393.639270934543,37638.95041547943,44243.89373076296,38000.48989873823,1434.3986215976322,5490.089688902415,8276.518231182363,9301.510021569746,191123.3151949992,11768.987665662507,58661.23790468102,61091.561750296394,63964.601774444556
122101.95599461524,21484.44491364598,1.565480835243512,6550.603092404955,37859.11993540206,44052.96100905138,37505.72494581318,1473.3846339893907,5194.67023471866,7135.556962488146,8214.945414104834,190245.51539411373,11724.824982627473,58794.25925339703,60447.153621661775,63644.43381804024
120833.7304015093,23349.246794580704,1.5071564365625616,6097.755436538895,36977.58589239461,44717.924986824175,36988.7627422512,1526.0795475527063,5444.625665436292,8264.47759357213,8779.324960693377,191721.5025121584,12027.274416945313,58976.43175388404,61449.395139487344,63738.61450307572
122094.0715160905,22656.549485899024,1.65345159750229,6201.926918947981,37777.90423696858,44597.85518667181,37407.57168334328,1445.6693343857917,4824.747687215865,8192.229367277656,8843.446562279185,190919.03346931905,11654.394604626237,58674.892487355166,61314.302785960674,63806.89302845979
121987.34764490653,22468.57659199459,0.8567775745750573,6384.420226347027,37485.3614815083,44234.04716376135,37701.49254899568,1514.6520915629715,5669.731979312707,7127.9534242576765,8655.597728042114,191278.7111371888,11940.455838976439,58490.50208824841,60932.18912290407,64316.56054540439
123046.02549491148,22346.253475655332,1.5940398451060378,6423.346274452596,37820.68143564853,45186.95118844471,37523.00491809038,1472.231613570792,5296.0633667277,7401.776992162188,8696.71668744187,191671.42106406938,12016.986776715243,59013.27959404313,61629.2317774583,63386.218725153274
123100.3379437668,22913.506824838147,1.0275491058258779,6332.081906912773,37819.10990717885,44610.802054186366,38274.19531487966,1380.1243281112736,5169.895403551378,8173.3887060534935,8857.10023930148,191518.86751408168,11805.994565600879,59340.34090654134,61473.7674229643,63403.36502252464
121287.12206707557,21258.26026088628,1.9851738902250504,6425.603692582281,37041.423637428605,43912.61767752537,37728.124417259954,1538.3637764065525,5033.088374979364,6539.802591335465,8562.771031679766,188813.44143309366,11655.546762202637,57730.48773027901,60446.94835389203,63340.43559674672
123685.79241933856,24816.97261618048,2.079210352921521,6260.814454521762,38178.126812428294,45257.23276568597,37900.66034670837,1576.9839467142945,5785.208453416013,8735.203642644121,9387.149954805438,194493.36291552056,12197.030191346901,60457.31841648588,61497.03744415334,64652.97566797912
124046.84066180444,24585.160053821714,1.9037539846568232,6453.70257812152,38666.81085378198,44696.626827422835,38093.54849444323,1569.6594615275728,6766.841408643942,7649.288138343034,9124.902348898288,191684.49051813775,11736.154914764604,59473.62520524765,61321.06868691897,63603.91767876736
122492.91281821048,24152.594652180498,1.3471379165163861,6633.561326094195,37391.41782023675,44736.44367751088,37609.05847403216,1650.388031288255,5808.261929359976,8077.14502643469,9206.424939150093,190415.3076478068,12009.295781764906,58311.72742994619,61151.94564586207,63318.82778428923
123613.53565677692,23409.665709245426,1.6029232014588004,6432.201415276909,38626.73931759189,44710.86322811038,37704.05562340899,1548.4001498517582,6054.823561408007,7546.143124254364,8781.28032868423,193467.5599988137,12049.897471518994,60155.12561695568,61193.27982827875,64442.13680010058
122964.45689922656,22898.48685535095,1.641831428539992,6333.430820633224,37649.94142686719,44549.08942120289,38224.59429733243,1543.020667452613,5389.14032261609,7592.063958821416,8899.32836282945,190592.69360263844,11758.563990296427,58422.53714315387,60838.99007352901,63928.680411991096
121609.64533891313,23742.607572727677,1.0234740329290675,6397.433768153026,37543.072815003434,44335.144114175106,37286.79382249008,1544.2241697967045,5417.148218540691,8275.547893311548,9159.994455687825,191103.91621065864,11802.750089780051,58228.29453071668,61146.48592167148,64439.98878472601
122645.92634122267,22950.222951967804,1.0675470535776732,6605.09721497861,37641.610188209175,44500.260338267,37741.20115017899,1538.405131749042,5203.360904845881,8007.1351104549285,8821.101000116887,190996.7703267457,11903.654469637926,58272.07573274892,60993.29127338585,64169.32448201535
122028.22542087332,23309.891585372123,1.5399491557869607,6575.108719193267,37424.50489380954,43652.16549602879,38069.85284517273,1463.568936222776,5505.855392059826,7965.033873127241,8989.439666973396,189968.74269059135,11909.806637338517,58020.049110364664,60785.89378666527,63667.466318793646
121920.83285395957,23764.584725158173,1.982496960611643,6356.81439720439,37764.1382528768,44327.51512310029,37262.51200184658,1606.3635505850739,5289.129262075643,8402.250921859955,9120.711651377776,189529.47037532786,11730.866766068131,58726.99282855842,60835.48196618276,62567.02268560083
123142.5579209115,21860.39550391329,1.44778532318016,6185.585347411525,38887.86284439776,44208.82011315372,37672.08276235854,1452.7984710928968,5058.986099394413,7309.8639400776165,8578.796212380628,191879.6131061947,11760.554498367099,59718.79226701349,61405.11283247159,63473.20073059658
124127.22574733416,23378.487854581996,1.1983005657175287,6524.098558029253,37853.35429450002,45222.65082631032,38351.75881455799,1549.6121846996896,5409.568231998255,8032.811096407507,8965.440971708309,191364.14610939636,11855.912041607568,58386.68183923224,61619.08258800962,63943.88854175135
125164.21706562975,21514.404196206862,1.4021457275981486,6362.1217192778195,38473.64310362833,45404.84556492898,38880.00211961631,1334.908626379943,5102.989229259531,7082.590454632549,8506.867236962897,192066.01143666476,11681.424936485568,59018.71383607649,61789.3503853136,64076.31315544594
123460.96840379841,23418.442407371283,1.0700047550191705,6325.6790226948015,38350.830998529935,44897.03747402056,37799.53240816969,1487.6843200949927,5294.569668685269,8144.330856475384,9133.476271005602,190549.55580687057,11697.099864384061,58882.88104600004,61176.28339998544,63235.89612668096
124264.24852842581,22994.841277914966,1.3814901279596894,6769.219059217293,38026.38472483167,45212.31213178207,38254.884650456595,1609.6608339242637,5071.197901780438,7936.264506683852,8992.139058126371,190801.61852947832,11769.230144867726,58454.29216914882,61377.0607762977,63706.038496861445
122989.6817549677,24659.442055477895,1.976487207576681,6354.565176131716,38394.53643651533,44438.295020392536,37553.12680573818,1633.233713219026,5733.583894543581,8549.420923467413,9370.706853401329,192665.23311595328,11823.87083995903,59483.54350284477,61551.32719615075,64207.60616890743
123293.95681932857,23922.738925055655,1.2212835548154783,6369.179785430989,38272.31006535233,44724.19271873565,37772.1973365576,1640.3857662409312,5660.4991263881075,8207.059264798785,9025.216215228498,193332.03003671987,11936.266348903928,60509.56249967719,61468.22941752938,63814.12566071929
