rowname,V1,V2,V3,V4,V5
var,AffectedChildren,AffectedChildrenUF,MeanBLLIncreaseAffected,MeanBLLIncreaseOverall,ChildPopulation
T,116000 (115000-118000),22300 (20800-23800),1.53 (0.915-2.16),0.178 (0.106-0.254),191000 (190000-193000)
A,6640 (6360-6940),1550 (1380-1720),1.5 (0.896-2.12),0.196 (0.117-0.285),11800 (11600-12100)
B,35900 (34800-37000),5270 (4640-5920),1.57 (0.936-2.22),0.14 (0.0826-0.204),58900 (58000-59900)
H,39700 (39000-40500),7020 (6300-7750),1.49 (0.891-2.11),0.171 (0.102-0.245),61200 (60600-61800)
W,37300 (36500-38100),8920 (8330-9530),1.54 (0.919-2.18),0.215 (0.129-0.307),63700 (63000-64400)
