Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
1430 E 55TH PL,Chicago,IL,,2020-11-21T00:00:00Z,2.2000000000000002,4.2,< 1,FALSE,1449 E 55TH PL,-87.58975383899997,41.79474454000007,17,31,411100,1002
1430 E ROCHDALE PL,Chicago,IL,,2018-06-06T00:00:00Z,1.3,< 1,< 1,FALSE,1449 E ROCHDALE PL,NA,NA,NA,NA,NA,NA
1430 S CAMPUS PKWY,Chicago,IL,,2021-04-24T00:00:00Z,< 1,< 1,< 1,FALSE,1449 S CAMPUS PKWY,-87.64739374399994,41.862805380000054,17,31,841900,2032
1530 N MOHAWK ST,Chicago,IL,,2019-01-12T00:00:00Z,< 1,< 1,< 1,FALSE,1549 N MOHAWK ST,-87.64213650699998,41.91071842000008,17,31,80400,3001
1530 N MOHAWK ST,Chicago,IL,,2020-10-25T00:00:00Z,< 1,< 1,< 1,FALSE,1549 N MOHAWK ST,-87.64213650699998,41.91071842000008,17,31,80400,3001
1530 N MOHAWK ST,Chicago,IL,,2022-04-09T06:44:00Z,<0.5,<0.5,<0.5,FALSE,1549 N MOHAWK ST,-87.64213650699998,41.91071842000008,17,31,80400,3001
1530 W CORTEZ ST,Chicago,IL,,2019-03-29T00:00:00Z,< 1,< 1,< 1,FALSE,1549 W CORTEZ ST,-87.66581305399995,41.90058632700004,17,31,242000,1001
1530 W CORTEZ ST,Chicago,IL,,2020-10-16T00:00:00Z,< 1,< 1,< 1,FALSE,1549 W CORTEZ ST,-87.66581305399995,41.90058632700004,17,31,242000,1001
1630 W OHIO ST,Chicago,IL,,2020-11-01T00:00:00Z,1.4,1.2,< 1,FALSE,1649 W OHIO ST,-87.66873634299998,41.89234174200004,17,31,243200,2005
1730 N SAINT MICHAELS CT,Chicago,IL,,2019-04-16T00:00:00Z,2.2000000000000002,1.6,< 1,FALSE,1749 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N SAINT MICHAELS CT,Chicago,IL,,2021-09-14T07:35:00Z,4.5999999999999996,2.2999999999999998,1.9,FALSE,1749 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N ST MICHAELS CT,Chicago,IL,,2018-11-24T00:00:00Z,87,3,4,FALSE,1749 N ST MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 W WALTER BURLEY GRIFFIN PL,Chicago,IL,,2019-09-15T00:00:00Z,4.5999999999999996,4.2,2.8,FALSE,1749 W WALTER BURLEY GRIFFIN PL,NA,NA,NA,NA,NA,NA
1830 N HONORE ST,Chicago,IL,,2020-02-02T00:00:00Z,< 1,< 1,< 1,FALSE,1849 N HONORE ST,-87.67384183699994,41.91541467400003,17,31,831000,2020
1830 S BISHOP ST,Chicago,IL,,2018-07-11T00:00:00Z,< 1,< 1,< 1,FALSE,1849 S BISHOP ST,-87.66330490999997,41.85695546800008,17,31,310600,2010
