blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
170070102001,781,72,12,16,110,73.7563556583431,132.9812016790343
170070102002,585,183,46,150,12,236.61994844053194,241.34829603707584
170070102003,748,92,96,12,62,92.77930803794561,147.20054347725758
170070103001,523,96,71,12,69,96.74709297958259,138.42687600318084
170070103002,384,12,25,12,32,16.97056274847714,44.01136216933077
170070103003,612,39,104,12,49,40.80441152620633,121.99180300331658
170070103004,273,81,72,29,33,86.03487664894976,116.940155635265
170070104001,521,77,19,16,29,78.64477096412705,85.94765849050223
170070104002,296,12,12,40,21,41.7612260356422,48.25971404805462
170070104003,549,11,13,84,18,84.71717653463199,87.57853618324526
170070104004,450,59,74,79,17,98.60020283954795,124.44677577181339
170070105011,519,12,45,87,84,87.82368700982668,129.59166639873106
170070105012,400,43,38,36,71,56.08029957123981,98.13256340277675
170070105021,350,12,12,63,41,64.13267497929586,77.05841939723393
170070105022,563,12,61,12,75,16.97056274847714,98.15294188153507
170070105023,547,80,39,66,53,103.71113729971339,122.82507887235408
170070106011,229,12,11,25,14,27.730849247724095,32.95451410656816
170070106012,219,6,12,19,22,19.924858845171276,32.01562118716424
170070106013,371,63,45,90,21,109.85900054160332,120.56118778446071
170070106031,519,128,35,124,46,178.2133552795637,187.35260873550706
170070106032,286,26,23,34,50,42.80186911806539,69.72087205421343
170070106033,425,34,50,12,12,36.05551275463989,62.80127387243033
170070106034,324,8,38,68,94,68.46897107449476,122.34377793741699
170070106041,481,12,12,12,12,16.97056274847714,24
170070106042,596,35,12,90,85,96.56603957913983,129.20526305069774
170070106043,546,12,90,83,12,83.86298349093002,123.60016181219181
170099704001,217,25,3,29,23,38.28837943815329,44.76605857119878
170099704002,152,22,24,7,17,23.08679276123039,37.389838191679836
170099704003,173,26,11,10,27,27.85677655436824,40.32369030731191
170099705001,143,23,28,26,15,34.713109915419565,47.05316142407437
170099705002,282,12,12,19,20,22.47220505424423,32.38826948140329
170099705003,200,30,42,30,44,42.42640687119285,74.16198487095663
170119647001,96,12,20,5,15,13,28.178005607210743
170119647002,157,19,10,15,28,24.20743687382041,38.34057902536163
170119647003,150,6,27,11,19,12.529964086141668,35.31288716601915
170119647004,115,8,13,13,8,15.264337522473747,21.587033144922902
170119648001,208,16,24,25,17,29.68164415931166,41.78516483155236
170119648002,238,28,26,25,25,37.53664875824692,52.05766033928148
170119648003,258,15,12,49,35,51.24451190127583,63.20601237224193
170119648004,141,6,3,13,6,14.317821063276353,15.811388300841896
170119649001,188,53,14,25,13,58.60034129593445,61.63602842493991
170119649002,127,16,21,14,15,21.2602916254693,33.436506994600975
170119649003,233,48,12,32,70,57.688820407423826,91.49863386958299
170119650001,171,15,19,12,19,19.209372712298546,33.03028912982749
170119650002,124,19,3,4,7,19.4164878389476,20.85665361461421
170119650003,188,8,22,26,26,27.202941017470888,43.58898943540674
170119650004,149,29,18,8,14,30.083217912982647,37.749172176353746
170119650005,143,14,8,15,18,20.518284528683193,28.442925306655784
170119651001,147,31,23,16,24,34.88552708502482,48.187135212627034
170119651002,190,20,22,25,27,32.01562118716424,47.30750469005948
170119651003,226,19,36,31,35,36.359317925395686,61.99193495931547
170119652001,191,12,31,27,34,29.546573405388315,54.680892457969264
170119652002,235,28,34,35,12,44.82186966202994,57.52390807307862
170119652003,173,23,12,42,19,47.885279575251516,52.896124621752776
170119652004,171,12,27,33,12,35.11409973215888,45.89117562233506
170119653001,420,24,83,43,30,49.24428900898052,101.06433594498111
170119653002,203,22,8,7,18,23.08679276123039,30.347981810987037
170119653003,304,22,51,13,17,25.553864678361276,59.52310475773252
170119654001,199,29,11,27,50,39.6232255123179,64.73793323855806
170119654002,212,12,22,12,12,16.97056274847714,30.265491900843113
170119654003,279,38,12,35,12,51.66236541235796,54.378304497290095
170119655001,174,25,26,10,20,26.92582403567252,42.43819034784589
170119655002,198,19,20,46,12,49.76946855251722,54.96362433464518
170119655003,142,17,11,16,20,23.345235059857504,32.64965543462902
170119655004,167,24,23,13,18,27.294688127912362,39.97499218261337
170119656001,117,8,16,11,10,13.601470508735444,23.259406699226016
170119656002,149,29,20,13,18,31.78049716414141,41.641325627314025
170119656003,101,10,7,16,12,18.867962264113206,23.430749027719962
170119656004,155,14,15,19,11,23.600847442411894,30.04995840263344
170139512001,194,13,7,9,17,15.811388300841896,24.24871130596428
170139512002,159,18,10,35,23,39.35733730830886,46.66904755831214
170139512003,206,19,15,23,12,29.832867780352597,35.482389998420345
170139513001,197,23,29,20,29,30.479501308256342,51.09794516416487
170139513002,201,17,22,12,14,20.808652046684813,33.361654635224554
170159601001,248,53,33,14,37,54.817880294662984,73.91210996852952
170159601002,109,15,11,13,12,19.849433241279208,25.67099530598687
170159601003,184,27,24,21,59,34.20526275297414,72.29799443968
170159601004,125,11,16,10,12,14.866068747318506,24.919871588754223
170159602001,182,17,15,12,16,20.808652046684813,30.23243291566195
170159602002,215,44,12,27,10,51.62363799656123,53.9351462406472
170159603001,323,29,24,18,12,34.132096331752024,43.41658669218482
170159603002,182,37,21,18,49,41.14608122288197,67.34240862933252
170159603003,240,12,12,12,36,16.97056274847714,41.569219381653056
170159603004,353,15,45,36,46,39,75.24626236564843
170159604001,129,18,18,10,13,20.591260281974,30.28200785945344
170159604002,108,5,9,14,6,14.866068747318506,18.384776310850235
170159604003,168,10,35,48,28,49.03060268852505,66.4304147209695
170159605001,176,21,24,5,17,21.587033144922902,36.4828726939094
170159605002,129,5,20,14,23,14.866068747318506,33.91164991562634
170159605003,187,21,14,40,10,45.17742799230607,48.342527861087284
170159606001,98,5,7,5,19,7.0710678118654755,21.447610589527216
170159606002,234,12,20,25,35,27.730849247724095,48.92851929090027
170179601001,159,11,16,30,17,31.953090617340916,39.57271787481876
170179601002,116,44,18,12,8,45.60701700396552,49.678969393496885
170179601003,161,19,18,23,10,29.832867780352597,36.24913792078372
170179602001,131,6,12,15,37,16.15549442140351,42.118879377305376
170179602002,198,30,24,19,13,35.510561809129406,44.78839135311738
170179602003,143,11,10,10,24,14.866068747318506,29.949958263743873
170179603001,202,12,38,7,38,13.892443989449804,55.50675634551167
170179603002,320,39,31,12,15,40.80441152620633,53.39475629684998
170179603003,157,12,21,15,12,19.209372712298546,30.886890422961002
170179604001,280,35,38,58,49,67.7421582177598,91.83681179135085
170179604002,283,32,47,30,98,43.86342439892262,117.20494870098275
170179605001,297,56,33,42,63,70,99.7897790357309
170179605002,288,12,14,17,42,20.808652046684813,48.91829923454004
170179605003,317,78,33,12,82,78.91767862779544,118.49472562101657
170190002001,302,42,47,91,51,100.22474744293447,121.88108959145384
170190002002,268,7,16,22,20,23.08679276123039,34.48187929913333
170190003011,601,12,12,12,12,16.97056274847714,24
170190003012,822,12,12,12,12,16.97056274847714,24
170190003013,379,12,12,12,12,16.97056274847714,24
170190003021,210,12,12,12,12,16.97056274847714,24
170190003022,317,12,12,12,12,16.97056274847714,24
170190003023,293,12,12,12,12,16.97056274847714,24
170190004011,305,12,12,12,12,16.97056274847714,24
170190004012,363,12,12,12,12,16.97056274847714,24
170190004021,324,12,12,12,12,16.97056274847714,24
170190004022,496,12,12,12,12,16.97056274847714,24
170190005001,172,27,12,49,12,55.94640292279746,58.463663928973865
170190005002,327,12,62,69,58,70.03570517957252,110.05907504608605
170190005003,579,44,12,28,12,52.15361924162119,54.84523680320835
170190005004,298,85,81,12,51,85.84287972802403,128.57293649909377
170190007001,406,60,74,12,75,61.18823416311342,121.8400590938793
170190007002,369,53,39,12,44,54.3415126767741,80.06247560499239
170190007003,492,85,49,57,72,102.34256201600583,134.3837787830064
170190008001,631,62,54,69,12,92.76313923105448,108.00462953040486
170190008002,502,18,22,56,27,58.82176467941097,68.3593446428504
170190008003,550,107,12,68,24,126.77933585565118,129.5878080685062
170190008004,364,58,55,65,60,87.11486669908874,119.22248110151038
170190009011,367,13,12,21,136,24.698178070456937,138.74436925511608
170190009012,516,99,60,93,55,135.83077707206124,158.35087622113116
170190009013,397,75,124,76,100,106.77546534667971,191.77330366868065
170190009014,421,47,12,12,93,48.507731342539614,105.57461816175325
170190009021,805,127,40,65,198,142.66744548074027,247.3014354992708
170190009022,588,88,60,47,60,99.76472322419383,130.96946208945045
170190009023,625,65,54,137,38,151.6377261765686,165.39044712437294
170190010001,249,39,12,12,39,40.80441152620633,57.706152185014034
170190010002,371,12,98,12,12,16.97056274847714,100.17983829094555
170190010003,300,46,12,105,12,114.63420083029322,115.88356225108029
170190010004,373,12,12,12,51,16.97056274847714,55.072679252057455
170190010005,321,43,54,12,12,44.64302857109943,71.08445681019164
170190011001,212,21,97,34,13,39.96248240537617,105.71187255932988
170190011002,549,39,12,140,7,145.33065746772084,145.9931505242626
170190011003,286,8,26,70,13,70.45565981523414,76.21679604916491
170190012011,546,108,101,106,114,151.32745950421557,214.7021192256844
