Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,number,street,streetName,is_letter,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-20T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,3430, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2019-03-25T00:00:00Z,4,2.6,2.2000000000000002,FALSE,3430 W LE MOYNE ST,3430, W LE MOYNE ST,LE MOYNE ST,FALSE,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2021-08-05T12:18:00Z,3.6,4.0999999999999996,2.1,FALSE,3430 W LE MOYNE ST,3430, W LE MOYNE ST,LE MOYNE ST,FALSE,NA,NA,NA,NA,NA,NA
3430 W MCLEAN AVE,Chicago,IL,,2018-12-26T00:00:00Z,2.4,4.8,3.7,FALSE,3430 W MCLEAN AVE,3430, W MCLEAN AVE,MCLEAN AVE,FALSE,NA,NA,NA,NA,NA,NA
3530 W LE MOYNE ST,Chicago,IL,,2021-04-14T00:00:00Z,3,3.1,1.4,FALSE,3530 W LE MOYNE ST,3530, W LE MOYNE ST,LE MOYNE ST,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-15T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-29T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2019-04-22T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2019-08-11T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2020-02-22T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,3630, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3630 W 116TH ST,Chicago,IL,,2019-08-19T00:00:00Z,1.2,3.2,1.4,FALSE,3630 W 116TH ST,3630116, W TH ST,116TH ST,FALSE,NA,NA,NA,NA,NA,NA
3630 W LE MOYNE ST,Chicago,IL,,2018-11-24T00:00:00Z,< 1,< 1,< 1,FALSE,3630 W LE MOYNE ST,3630, W LE MOYNE ST,LE MOYNE ST,FALSE,NA,NA,NA,NA,NA,NA
