Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,number,street,streetName,is_letter,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
6130 S MCVICKER AVE,Chicago,IL,,2019-10-10T00:00:00Z,3.5,8.4,4.5999999999999996,FALSE,6130 S MCVICKER AVE,6130, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
6130 W ARLINGTON PL,Chicago,IL,,2018-08-06T00:00:00Z,< 1,< 1,< 1,FALSE,6130 W ARLINGTON PL,6130, W ARLINGTON PL,ARLINGTON PL,FALSE,NA,NA,NA,NA,NA,NA
6230 S GULLIKSON RD 2G,Chicago,IL,,2020-11-09T00:00:00Z,< 1,< 1,< 1,FALSE,6230 S GULLIKSON RD 2G,62302, S GULLIKSON RD G,GULLIKSON RD 2G,FALSE,NA,NA,NA,NA,NA,NA
630 N LAKE SHORE D,Chicago,IL,,2021-12-22T15:54:00Z,<0.5,<0.5,<0.5,FALSE,630 N LAKE SHORE D,630, N LAKE SHORE D,LAKE SHORE D,FALSE,NA,NA,NA,NA,NA,NA
7730 W HIGGINS AVE,Chicago,IL,,2021-05-13T00:00:00Z,1.1000000000000001,< 1,< 1,FALSE,7730 W HIGGINS AVE,7730, W HIGGINS AVE,HIGGINS AVE,FALSE,NA,NA,NA,NA,NA,NA
830 E 101STST,Chicago,IL,,2017-06-27T00:00:00Z,1.2,1.3,< 1,FALSE,830 E 101STST,830101, E STST,101STST,FALSE,NA,NA,NA,NA,NA,NA
830 W COLLEGE PKWY,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,830 W COLLEGE PKWY,830, W COLLEGE PKWY,COLLEGE PKWY,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2016-10-18T00:00:00Z,< 1,< 1,< 1,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2019-06-16T00:00:00Z,< 1,< 1,< 1,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2019-09-13T00:00:00Z,1.3,< 1,< 1,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2020-12-08T00:00:00Z,< 1,< 1,< 1,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2021-09-05T09:46:00Z,<1.0,<1.0,<1.0,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR,Chicago,IL,,2021-09-27T06:41:00Z,<1.0,<1.0,<1.0,FALSE,930 N LAKE SHORE DR,930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
930 N LAKE SHORE DR APT 920,Chicago,IL,,2020-11-02T00:00:00Z,< 1,< 1,< 1,FALSE,930 N LAKE SHORE DR APT 920,930920, N LAKE SHORE DR APT ,LAKE SHORE DR APT 920,FALSE,NA,NA,NA,NA,NA,NA
930 W COLLEGE PKWY,Chicago,IL,,2019-12-01T00:00:00Z,< 1,< 1,< 1,FALSE,930 W COLLEGE PKWY,930, W COLLEGE PKWY,COLLEGE PKWY,FALSE,NA,NA,NA,NA,NA,NA
X N LASLLE ST,Chicago,IL,,2016-11-08T00:00:00Z,< 1,< 1,< 1,FALSE,7 N LASLLE ST,NA,X N LASLLE ST,X N LASLLE ST,FALSE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2021-09-08T00:00:00Z,3.17,2.48,NA,TRUE,4130 N MCVICKER AVE,4130, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5230 N OLEANDER,Chicago,IL,,2019-07-19T00:00:00Z,13.4,10.4,9.25,TRUE,5230 N OLEANDER,5230, N OLEANDER,OLEANDER,FALSE,NA,NA,NA,NA,NA,NA
5730 N VIRGINIA AVE,Chicago,IL,,2017-12-19T00:00:00Z,3.12,1.76,NA,TRUE,5730 N VIRGINIA AVE,5730, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5830 N VIRGINIA AVE,Chicago,IL,,2021-08-13T00:00:00Z,5.0999999999999996,6.37,NA,TRUE,5830 N VIRGINIA AVE,5830, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
